DOC_ID	Dialect	Title	Author	Link
00000	SA	يا عيونه بس يكفيني عذاب	خجل العذارى	http://forums.graaam.com/up/uploaded11/139333_01217381914.doc
00001	AE	لأنني خادمة	قلب دبي	http://forums.graaam.com/up/uploaded11/162434_11216274655.doc
00002	QA	كبريآء آمرآه	تحفة فنية	http://forums.graaam.com/up/uploaded11/162434_21216274655.doc
00003	SA	أشكي للي بين ضلوعي	وزو- wozo	http://forums.graaam.com/up/uploaded11/139333_01217384288.doc
00004	SA	أشكي للي بين ضلوعي	وزو- wozo	http://forums.graaam.com/up/uploaded11/139333_11217384288.doc
00005	SA	بنات السفير	بنت السعودية	http://forums.graaam.com/up/uploaded11/139333_01217393619.doc
00006	SA	بنات السفير	بنت السعودية	http://forums.graaam.com/up/uploaded11/139333_01217392846.doc
00007	SA	عطني روحي سيدي أو خذها روحك	أميرة الورد 25	http://forums.graaam.com/up/uploaded11/139333_01217488975.doc
00008	AE	ابوي لو صد عني ما ترجيته	معاني	http://up.graaam.com/p16ic/9f049778bc.doc
00009	SA	الخوف من الحب	بنت أمها	http://up.graaam.com/p16ic/42b0b25e9c.doc
00010	SA	سواها قلبي	جوهرة المملكة	http://up.graaam.com/p16ic/aaae8b2cae.doc
00011	KW	بشروه إني أبرحل	مشاعل العنزي	http://up.graaam.com/p16ic/389693f98b.doc
00012	SA	يارب تخليه وتبقيه لعنين ترجيه	فاقدة غالي	http://up.graaam.com/p16ic/f511383670.doc
00013	SA	يارب تخليه وتبقيه لعنين ترجيه	فاقدة غالي	http://up.graaam.com/p16ic/318fd5b663.doc
00014	SA	يارب تخليه وتبقيه لعنين ترجيه	فاقدة غالي	http://up.graaam.com/p16ic/595d19876f.doc
00015	SA	أحلى صدفه بحياتي	بقايا شتات	http://up.graaam.com/p16ic/35cb2398f7.doc
00016	SA	احلى صدفة بحياتي	بقايا شتات	http://up.graaam.com/p16ic/8b8007b65e.doc
00017	SA	احلى صدفة بحياتي	بقايا شتات	http://up.graaam.com/p16ic/b54dd0af82.doc
00018	SA	حسبتك عديم الاحساس و صرت كل احساسي	مدوخة خلق الله	http://up.graaam.com/p16ic/28d5eb54b5.doc
00019	SA	حسبتك عديم الاحساس و صرت كل احساسي	مدوخة خلق الله	http://up.graaam.com/p16ic/1a460913d7.doc
00020	QA	الليالي الطويلة	الملكة الأم	http://up.graaam.com/p16ic/3bd10b2c6a.doc
